Service Name,Physical Address,Physical Suburb,Physical State,Physical Post Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,2019 MMM Code,2016 SA2 Code,2016 SA2 Name,2016 SA3 Code,2016 SA3 Name,2023 LGA Name,2023 LGA Code,2017 PHN Code,2017 PHN Name,Latitude,Longitude
Canowindra Tweed Byron Aged & Disabled Aboriginal Corporation,"Unit 16, 21 Enterprise Avenue",TWEED HEADS SOUTH,NSW,2486,Far North Coast,National Aboriginal and Torres Strait Islander Aged Care Program,0,39,0,Canowindra Tweed Byron Aged and Disabled Aboriginal Corporation,Community Based,Major Cities of Australia,1,11552,Tweed Heads South,11203,Tweed Valley,Tweed,17550,PHN109,North Coast,-28.204165,153.534409
Jack Towney Hostel,5 Stockings Crescent,GILGANDRA,NSW,2827,Orana Far West,National Aboriginal and Torres Strait Islander Aged Care Program,8,5,0,Gilgandra Council,Local Government,Outer Regional Australia,5,11104,Gilgandra,10503,Dubbo,Gilgandra,12950,PHN107,Western NSW,-31.704443,148.645445999999
Dr Mary Surveyor Centre,18 Hocking Road,KINGSLEY,WA,6026,Metropolitan North,Residential,129,0,0,Meath Care (Inc),Community Based,Major Cities of Australia,1,51078,Kingsley,50501,Joondalup,Joondalup,54170,PHN501,Perth North,-31.8020859999999,115.813989
Cairns and Hinterland Transition Care Service,85 Spence Street,CAIRNS,QLD,4870,Far North,Transition Care,0,0,42,Queensland Health,State Government,Outer Regional Australia,2,31145,Cairns City,30602,Cairns - South,Cairns,32080,PHN307,Northern Queensland,-16.9274179999999,145.773382999999
Randwick Montefiore Home,30-36 Dangar Street,RANDWICK,NSW,2031,South East Sydney,Residential,276,0,0,The Sir Moses Montefiore Jewish Home,Religious,Major Cities of Australia,1,11569,Randwick - North,11802,Eastern Suburbs - South,Randwick,16550,PHN101,Central and Eastern Sydney,-33.906356,151.238395999999
Beresford Hall,1  CRANBROOK ROAD,ROSE BAY,NSW,2023,South East Sydney,Residential,141,0,0,Provectus Care Pty Limited,Private Incorporated Body,Major Cities of Australia,1,11343,Double Bay - Bellevue Hill,11801,Eastern Suburbs - North,Woollahra,18500,PHN101,Central and Eastern Sydney,-33.871842,151.254895
Advantaged Care at Barden Lodge,11 Barden Road,BARDEN RIDGE,NSW,2234,South East Sydney,Residential,62,0,0,Advantaged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11535,Menai - Lucas Heights - Woronora,12802,Sutherland - Menai - Heathcote,Sutherland,17150,PHN101,Central and Eastern Sydney,-34.024365,151.009452
Uniting Quong Tart Ashfield,48 Arthur Street,ASHFIELD,NSW,2131,Inner West,Residential,63,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11390,Ashfield,12003,Strathfield - Burwood - Ashfield,Inner West,14170,PHN101,Central and Eastern Sydney,-33.8919399999999,151.119889999999
RFBI Leeton Masonic Village,71 -89 Karri Road,LEETON,NSW,2705,Riverina/Murray,Residential,46,0,0,Royal Freemasons' Benevolent Institution,Charitable,Outer Regional Australia,4,11258,Leeton,11301,Griffith - Murrumbidgee (West),Leeton,14750,PHN110,Murrumbidgee,-34.539169,146.404183999999
Macleay Valley House,94 Macleay Street,FREDERICKTON,NSW,2440,Mid North Coast,Residential,172,0,0,Burswood Care Pty Ltd,Private Incorporated Body,Inner Regional Australia,4,11155,Kempsey,10802,Kempsey - Nambucca,Kempsey,14350,PHN109,North Coast,-31.0376259999999,152.868662999999
Marco Polo Woonona Care Services,11 Watergum Way,WOONONA,NSW,2517,Illawarra,Residential,168,0,0,Illawarra Retirement Trust,Community Based,Major Cities of Australia,1,11150,Woonona - Bulli - Russell Vale,10704,Wollongong,Wollongong,18450,PHN106,South Eastern NSW,-34.349369,150.900558999999
Columbia Aged Care Services - Willowood Centre,297 Mowbray Road,CHATSWOOD,NSW,2067,Northern Sydney,Residential,90,0,0,Columbia Nursing Homes Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11398,Chatswood (East) - Artarmon,12101,Chatswood - Lane Cove,Willoughby,18250,PHN102,Northern Sydney,-33.802025,151.184986
