Service Name,Physical Address,Physical Suburb,Physical State,Physical Post Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,2019 MMM Code,2016 SA2 Code,2016 SA2 Name,2016 SA3 Code,2016 SA3 Name,2023 LGA Name,2023 LGA Code,2017 PHN Code,2017 PHN Name,Latitude,Longitude
Pembroke Lodge,57-61 Pembroke Road,MINTO,NSW,2566,South West Sydney,Residential,108,0,0,The Sisters of Our Lady of China Health Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11443,Minto - St Andrews,12302,Campbelltown (NSW),Campbelltown (NSW),11500,PHN105,South Western Sydney,-34.024636,150.849453
Ozcare Parkwood Gardens,100 Usher Avenue,LABRADOR,QLD,4215,South Coast,Residential,144,0,0,Ozcare,Charitable,Major Cities of Australia,1,31238,Labrador,30903,Gold Coast - North,Gold Coast,33430,PHN303,Gold Coast,-27.943083,153.389535999999
Parklands Aged Care Facility & Retirement Village,74-98 Emerald Park Way,URANGAN,QLD,4655,Wide Bay,Residential,72,0,0,Burswood Care Pty Ltd,Private Incorporated Body,Inner Regional Australia,2,31521,Urangan - Wondunna,31904,Hervey Bay,Fraser Coast,33220,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-25.298055,152.882515
Casey Aged Care,300 Golf Links Road,NARRE WARREN,VIC,3805,Southern Metro,Residential,155,0,0,Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21456,Narre Warren - South West,21202,Casey - North,Casey,21610,PHN203,South Eastern Melbourne,-38.041656,145.305012
Uniting Farmborough Unanderra,91 Waples Road,UNANDERRA,NSW,2526,Illawarra,Residential,108,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11134,Unanderra - Mount Kembla,10701,Dapto - Port Kembla,Wollongong,18450,PHN106,South Eastern NSW,-34.4544909999999,150.823362
North Transitional Care Program (NTCP),29 Neville Street,BAYSWATER,WA,6053,Metropolitan East,Transition Care,0,0,121,Government of Western Australia,State Government,Major Cities of Australia,1,51045,Bayswater - Embleton - Bedford,50401,Bayswater - Bassendean,Bayswater,50420,PHN501,Perth North,-31.93047,115.91597
Riverside Gardens Nursing Care Centre,20 Riverside Drive,NAMBUCCA HEADS,NSW,2448,Mid North Coast,Residential,97,0,0,NVC Group Limited,Community Based,Inner Regional Australia,4,11158,Nambucca Heads,10802,Kempsey - Nambucca,Nambucca Valley,15700,PHN109,North Coast,-30.648351,152.997621
ACT Transition Care Program,"Level 2, Penrhyn House, 2-6 Bowes Street",WODEN,ACT,2606,ACT,Transition Care,0,0,78,ACT Health,Territory Government,Major Cities of Australia,1,81109,Phillip,80109,Woden Valley,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.3426699999999,149.083229999999
NNSWLHD Transitional Aged Care Program,"29 MOLESWORTH STREET, Uralba Street",LISMORE,NSW,2480,Far North Coast,Transition Care,0,0,86,NSW State Government (NSW Ministry of Health),State Government,Inner Regional Australia,3,11248,Lismore,11202,Richmond Valley - Hinterland,Lismore,14850,PHN109,North Coast,-28.8067409999999,153.276785999999
Transitional Aged Care Program - St Vincent's Hospital Sydney,"LEVEL 3, De Lacy Bldg, St Thomas Ctr, St Vincent's Hospital,",DARLINGHURST,NSW,2010,South East Sydney,Transition Care,0,0,41,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,1,11329,Darlinghurst,11703,Sydney Inner City,Sydney,17200,PHN101,Central and Eastern Sydney,-33.8791409999999,151.221807
SWIAA Gardens,84-88 Restwell Road,BOSSLEY PARK,NSW,2176,South West Sydney,Residential,113,0,0,SWIAA Limited,Charitable,Major Cities of Australia,1,11510,Bossley Park - Abbotsbury,12702,Fairfield,Fairfield,12850,PHN105,South Western Sydney,-33.863593,150.88335
Arcare North Lakes,60 ENDEAVOUR Boulevard,NORTH LAKES,QLD,4509,Cabool,Residential,136,0,0,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31390,North Lakes - Mango Hill,31402,North Lakes,Moreton Bay,35010,PHN301,Brisbane North,-27.236554,153.014248
Arcare Helensvale,103 Lindfield Road,HELENSVALE,QLD,4212,South Coast,Residential,72,0,0,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31252,Helensvale,30907,Ormeau - Oxenford,Gold Coast,33430,PHN303,Gold Coast,-27.923684,153.333103999999
Bolton Clarke Seabrook,15-29 Bonton Avenue,DECEPTION BAY,QLD,4508,Cabool,Residential,122,0,0,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,31373,Deception Bay,31304,Narangba - Burpengary,Moreton Bay,35010,PHN301,Brisbane North,-27.1982199999999,153.03441
St Vincent's Care Carina,141 Fursden Road,CARINA,QLD,4152,Brisbane South,Residential,154,0,0,St Vincent's Care Services Ltd,Religious,Major Cities of Australia,1,31049,Carina,30301,Carindale,Brisbane,31000,PHN302,Brisbane South,-27.4866169999999,153.101372999999
Varsity Views Care Community,12 Lake Street,VARSITY LAKES,QLD,4227,South Coast,Residential,120,0,0,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31262,Varsity Lakes,30908,Robina,Gold Coast,33430,PHN303,Gold Coast,-28.0756669999999,153.414479999999
ACH Group Residential Care - Highercombe,Sirius Avenue,HOPE VALLEY,SA,5090,Metropolitan North,Residential,126,0,0,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,1,41052,Hope Valley - Modbury,40205,Tea Tree Gully,Tea Tree Gully,47700,PHN401,Adelaide,-34.838866,138.706072
Vivian Bullwinkel Lodge,85 Hester Avenue,MERRIWA,WA,6030,Metropolitan North,Residential,79,0,0,Air Force Association (Western Australian Division) Incorporated,Charitable,Major Cities of Australia,1,51099,Butler - Merriwa - Ridgewood,50503,Wanneroo,Wanneroo,58760,PHN501,Perth North,-31.6709199999999,115.719117999999
Redland Residential Care Facility,3 Weippin Street,CLEVELAND,QLD,4163,Brisbane South,Residential,128,0,0,Queensland Health,State Government,Major Cities of Australia,1,31007,Cleveland,30102,Cleveland - Stradbroke,Redland,36250,PHN302,Brisbane South,-27.5414059999999,153.250157
Rubicon Grove,89 Club Drive,PORT SORELL,TAS,7307,North Western,Residential,80,0,0,OneCare Limited,Charitable,Outer Regional Australia,5,61089,Port Sorell,60402,Devonport,Latrobe (Tas.),63810,PHN601,Tasmania,-41.1607339999999,146.528503
Kilmore Grove Care Community,70 Kilmore-Lancefield Road,KILMORE,VIC,3764,Hume,Residential,80,0,0,DPG Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,4,21056,Kilmore - Broadford,20401,Upper Goulburn Valley,Mitchell,24850,PHN205,Murray,-37.2951699999999,144.945045999999
mecwacare Malvern Centre,1245-1247 Malvern Road,MALVERN,VIC,3144,Southern Metro,Residential,108,0,0,MECWA,Community Based,Major Cities of Australia,1,21194,Malvern - Glen Iris,20804,Stonnington - East,Stonnington,26350,PHN203,South Eastern Melbourne,-37.852116,145.034874
Mooroolbark Manor Care Community,16 Baradine Road,MOOROOLBARK,VIC,3138,Eastern Metro,Residential,75,0,0,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21281,Mooroolbark,21105,Yarra Ranges,Yarra Ranges,27450,PHN202,Eastern Melbourne,-37.7814819999999,145.317245
Wintringham Eunice Seddon Home,34 Potter Street,DANDENONG,VIC,3175,Southern Metro,Residential,60,0,0,WINTRINGHAM LIMITED,Charitable,Major Cities of Australia,1,21311,Dandenong,21204,Dandenong,Greater Dandenong,22670,PHN203,South Eastern Melbourne,-37.9817019999999,145.203927999999
Villa Maria Catholic Homes Corpus Christi Aged Care Residence,80 Clayton Road,CLAYTON,VIC,3168,Eastern Metro,Residential,132,0,0,Villa Maria Catholic Homes Limited,Charitable,Major Cities of Australia,1,21320,Clayton,21205,Monash,Monash,24970,PHN202,Eastern Melbourne,-37.913957,145.121877
Bolton Clarke Princeton View,29 Heathfield Road,BRIGHTON EAST,VIC,3187,Southern Metro,Residential,128,0,0,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,21170,Brighton East,20801,Bayside,Bayside (Vic.),20910,PHN203,South Eastern Melbourne,-37.9272679999999,145.008
Carseldine Greens Care Community,40 Raynbird Place,CARSELDINE,QLD,4034,Brisbane North,Residential,120,0,0,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31024,Carseldine,30201,Bald Hills - Everton Park,Brisbane,31000,PHN301,Brisbane North,-27.337215,153.010975
TRANSPAC Caring Networks (Transitional Aged Care Program Central Coast),"CITIGATE CENTRE, 451 PACIFIC HIGHWAY",WYOMING,NSW,2250,Central Coast,Transition Care,0,0,129,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,1,11043,Wyoming,10201,Gosford,Central Coast (NSW),11650,PHN108,Hunter New England and Central Coast,-33.410986,151.347488999999
Illawarra Shoalhaven Transitional Aged Care Service,"LEVEL 1, Block E, Port Kembla Hospital, 89-91 COWPER STREET",WARRAWONG,NSW,2502,Illawarra,Transition Care,0,0,131,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,1,11546,Port Kembla - Warrawong,10701,Dapto - Port Kembla,Wollongong,18450,PHN106,South Eastern NSW,-34.479694,150.877218999999
Austin Health Transition Care Program,145 Studley Road,HEIDELBERG,VIC,3084,Northern Metro,Transition Care,0,0,52,Department of Health,State Government,Major Cities of Australia,1,21198,Heidelberg - Rosanna,20901,Banyule,Banyule,20660,PHN202,Eastern Melbourne,-37.7566759999999,145.059248999999
Alfred Health Transition Care Program,260 Kooyong Road,CAULFIELD,VIC,3162,Southern Metro,Transition Care,0,0,88,Department of Health,State Government,Major Cities of Australia,1,21178,Caulfield - South,20802,Glen Eira,Glen Eira,22310,PHN203,South Eastern Melbourne,-37.884303,145.01713
Eastern Health Transition Care Program,"18/45 Ringwood Street, 16 Arnold Street",RINGWOOD,VIC,3134,Eastern Metro,Transition Care,0,0,94,Department of Health,State Government,Major Cities of Australia,1,21266,Ringwood,21103,Maroondah,Maroondah,24410,PHN202,Eastern Melbourne,-37.8113809999999,145.227140999999
Melbourne Health Transition Care Program,856 Park Street,PARKVILLE,VIC,3052,Western Metro,Transition Care,0,0,63,Department of Health,State Government,Major Cities of Australia,1,21124,Parkville,20604,Melbourne City,Melbourne,24600,PHN201,North Western Melbourne,-37.7769759999999,144.949321999999
Northern Health Transition Care Program,201 Bell Street,PRESTON,VIC,3072,Northern Metro,Transition Care,0,0,69,Department of Health,State Government,Major Cities of Australia,1,21428,Preston - East,20902,Darebin - North,Darebin,21890,PHN201,North Western Melbourne,-37.746105,145.010057999999
Peninsula Health Transition Care Program,Hastings Road,FRANKSTON,VIC,3199,Southern Metro,Transition Care,0,0,76,Department of Health,State Government,Major Cities of Australia,1,21371,Frankston,21401,Frankston,Frankston,22170,PHN203,South Eastern Melbourne,-38.15296,145.13255
St Vincent's Health Transition Care Program,283 Cotham Road,KEW,VIC,3101,Eastern Metro,Transition Care,0,0,71,Department of Health,State Government,Major Cities of Australia,1,21153,Kew,20701,Boroondara,Boroondara,21110,PHN202,Eastern Melbourne,-37.809283,145.053378
